,pesticide,genotype,rep,dose,alive,dead,total,percent_survival,percent_mortality,stage,date,conditions
236,imidacloprid,mdr65ko,1,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
237,imidacloprid,mdr65ko,2,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
238,imidacloprid,mdr65ko,3,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
239,imidacloprid,mdr65ko,4,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
240,imidacloprid,mdr65ko,5,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
561,ivermectin,wxac,1,0.015,33,17,50,0.66,0.34,L1,7.3.16,25d_Hoff
562,ivermectin,wxac,2,0.015,34,16,50,0.68,0.32,L1,7.3.16,25d_Hoff
563,ivermectin,wxac,3,0.015,22,28,50,0.44,0.56,L1,7.3.16,25d_Hoff
564,ivermectin,wxac,4,0.015,24,26,50,0.48,0.52,L1,7.3.16,25d_Hoff
565,ivermectin,wxac,5,0.015,23,27,50,0.46,0.54,L1,7.3.16,25d_Hoff
566,ivermectin,mdr49ko,1,0.015,38,12,50,0.76,0.24,L1,7.3.16,25d_Hoff
567,ivermectin,mdr49ko,2,0.015,33,17,50,0.66,0.34,L1,7.3.16,25d_Hoff
568,ivermectin,mdr49ko,3,0.015,37,13,50,0.74,0.26,L1,7.3.16,25d_Hoff
569,ivermectin,mdr49ko,4,0.015,33,17,50,0.66,0.34,L1,7.3.16,25d_Hoff
570,ivermectin,mdr49ko,5,0.015,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
571,ivermectin,mdr50ko,1,0.015,36,14,50,0.72,0.28,L1,7.3.16,25d_Hoff
572,ivermectin,mdr50ko,2,0.015,32,18,50,0.64,0.36,L1,7.3.16,25d_Hoff
573,ivermectin,mdr50ko,3,0.015,35,15,50,0.7,0.3,L1,7.3.16,25d_Hoff
574,ivermectin,mdr50ko,4,0.015,32,18,50,0.64,0.36,L1,7.3.16,25d_Hoff
575,ivermectin,mdr50ko,5,0.015,30,20,50,0.6,0.4,L1,7.3.16,25d_Hoff
